Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclProperty,CountDeclPropertyAuto,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Method,"BerryImu.MainPage.TimerCallback",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,185,,,,30,,,,136,,,25,104,26,,,,0,0,20,49,2,99,108,24,,,,94,,,9,9,9,1,4,,,,,0,,3,0,,,"0.19",10,10,10,2
Lambda Method,"BerryImu.MainPage.TimerCallback.(anon_method_1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,,,,6,,,,19,,,1,17,1,,,,0,0,1,1,0,16,16,0,,,,16,,,1,1,1,1,0,,,,,0,,0,0,,,"0.05",1,1,1,1
Internal Abstract Class,"BerryImu.baseLSM9DS",,,,,,,1,1,1,1,7,0,5,0,2,8,5,2,,0,0,,,,,,17,3,0,0,3,0,0,17,23,,,0,0,6,0,11,6,6,,151,,,,26,,,,108,,,48,62,20,,,,0,0,,,,75,101,54,,,,50,,,,,,,,4,4,4,1,,0,1,,70,60,"0.19",19,19,19,10
Public Method,"BerryImu.baseLSM9DS.ACC_ADDRESS.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,1,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"BerryImu.baseLSM9DS.ACC_OUT_X_L.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,1,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"BerryImu.baseLSM9DS.Dispose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,0,,,,6,,,1,3,1,,,,0,0,1,1,0,3,4,1,,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,"0.17",1,1,1,1
Public Method,"BerryImu.baseLSM9DS.GYR_ADDRESS.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,1,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"BerryImu.baseLSM9DS.GYR_OUT_X_L_G.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,1,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"BerryImu.baseLSM9DS.GetAccelerometerReadings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,,,,4,,,,15,,,6,11,3,,,,0,0,6,8,1,12,16,6,,,,11,,,4,4,4,1,0,,,,,0,,1,0,,,"0.20",4,4,4,1
Public Method,"BerryImu.baseLSM9DS.GetGyroscopeReadings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,,,,3,,,,15,,,6,11,3,,,,0,0,6,8,1,12,16,6,,,,11,,,4,4,4,1,0,,,,,0,,1,0,,,"0.20",4,4,4,1
Public Method,"BerryImu.baseLSM9DS.GetMagnetometerReadings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,,,,4,,,,17,,,6,13,3,,,,0,0,8,8,1,14,18,6,,,,13,,,4,4,4,1,0,,,,,0,,1,0,,,"0.18",4,4,4,1
Public Abstract Method,"BerryImu.baseLSM9DS.Initialise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",0,0,0,0
Public Method,"BerryImu.baseLSM9DS.MAG_ADDRESS.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,1,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Public Method,"BerryImu.baseLSM9DS.MAG_OUT_X_L.get",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,0,,,,0,,,0,0,0,,,,0,0,1,1,0,1,1,1,,,,0,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"BerryImu.baseLSM9DS.ReadBytesFromAccelerometer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,0,,,,8,,,3,5,0,,,,0,0,2,1,0,5,6,3,,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"BerryImu.baseLSM9DS.ReadBytesFromGyroscope",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,0,,,,8,,,3,5,1,,,,0,0,2,1,0,5,6,3,,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,"0.12",1,1,1,1
Protected Method,"BerryImu.baseLSM9DS.ReadBytesFromMagnetometer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,0,,,,8,,,3,5,1,,,,0,0,2,1,0,5,6,3,,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,"0.12",1,1,1,1
Protected Method,"BerryImu.baseLSM9DS.WriteByteToAccelerometer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,0,,,,6,,,3,3,0,,,,0,0,1,1,0,3,4,3,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"BerryImu.baseLSM9DS.WriteByteToGyroscope",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,0,,,,6,,,3,3,0,,,,0,0,1,1,0,3,4,3,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"0.00",1,1,1,1
Protected Method,"BerryImu.baseLSM9DS.WriteByteToMagnetometer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,0,,,,6,,,3,3,1,,,,0,0,1,1,0,3,4,3,,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"0.17",1,1,1,1
File,"CameraControl.c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,0,0,0,,,,0,0,,,,0,0,0,,,0,0,,,,,,,,0,0,0,0,,,0,,,,"0.00",0,0,0,0
Unknown Class,"ComVisibleAttribute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Method,"Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
Unknown Method,"Cos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.00",,,,
